SYMBOL, NAME OF COMPANY, SERIES, FACE VALUE, PAID UP VALUE, MKT LOT, IP RATE, DATE OF LISTING, DATE OF ALLOTMENT, REDEMPTION DATE, REDEMPTION AMT, CONVERSION DATE, CONVERSION AMT, INTEREST PAYMENT DT
IBULHSGFIN,Indiabulls Housing Finance Limited,N6,1000,1000,1,8.9,28-SEP-2016,26-SEP-2016,26-SEP-2021,,,,26-SEP-2018,INE148I07GF5
IBULHSGFIN,Indiabulls Housing Finance Limited,N6,1000,1000,1,8.9,28-SEP-2016,26-SEP-2016,26-SEP-2021,,,,26-SEP-2019,INE148I07GF5
IBULHSGFIN,Indiabulls Housing Finance Limited,N6,1000,1000,1,8.9,28-SEP-2016,26-SEP-2016,26-SEP-2021,,,,26-SEP-2020,INE148I07GF5
IBULHSGFIN,Indiabulls Housing Finance Limited,N6,1000,1000,1,8.9,28-SEP-2016,26-SEP-2016,26-SEP-2021,,,,26-SEP-2021,INE148I07GF5
IBULHSGFIN,Indiabulls Housing Finance Limited,N7,1000,1000,1,0,28-SEP-2016,26-SEP-2016,26-SEP-2021,,,,26-SEP-2021,INE148I07GH1
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-OCT-2016,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-NOV-2016,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-DEC-2016,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JAN-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-FEB-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-MAR-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-APR-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-MAY-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JUN-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JUL-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-AUG-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-SEP-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-OCT-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-NOV-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-DEC-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JAN-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-FEB-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-MAR-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-APR-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-MAY-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JUN-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JUL-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-AUG-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-SEP-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-OCT-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-NOV-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-DEC-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JAN-2019,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-FEB-2019,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-MAR-2019,INE148I07GJ7
