SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
PGIMDAADD,PGIM India Dual Advantage Fund - Series 1 - RPADPO,MF,31-MAR-2017,10,1,INF663L01QW3,10
PGIMDAD1G,PGIM India Dual Advantage Fund - Series 1 - DPG,MF,31-MAR-2017,10,1,INF663L01QK8,10
PGIMDAD2D,PGIM India Dual Advantage Fund - Series 1 - DPRDPO,MF,31-MAR-2017,10,1,INF663L01QL6,10
PGIMDAD3D,PGIM India Dual Advantage Fund - Series 1 - DPQDPO,MF,31-MAR-2017,10,1,INF663L01QN2,10
PGIMDADPD,PGIM India Dual Advantage Fund - Series 1 - RPRDPO,MF,31-MAR-2017,10,1,INF663L01QS1,10
PGIMDAGPG,PGIM India Dual Advantage Fund - Series 1 - RPG,MF,31-MAR-2017,10,1,INF663L01QR3,10
PGIMDAQDD,PGIM India Dual Advantage Fund - Series 1 - RPQDPO,MF,31-MAR-2017,10,1,INF663L01QU7,10
PGIMFAADD,PGIM India Fixed Duration Fund - Series AF - RPADPO,MF,06-APR-2017,1000,1,INF663L01RK6,1000
PGIMFAD1G,PGIM India Fixed Duration Fund - Series AF - DPG,MF,06-APR-2017,1000,1,INF663L01QY9,1000
PGIMFAD4D,PGIM India Fixed Duration Fund - Series AF - DPADPO,MF,06-APR-2017,1000,1,INF663L01RD1,1000
PGIMFAGPG,PGIM India Fixed Duration Fund - Series AF - RPG,MF,06-APR-2017,1000,1,INF663L01RF6,1000
PGIMFAQDD,PGIM India Fixed Duration Fund - Series AF - RPQDPO,MF,06-APR-2017,1000,1,INF663L01RI0,1000
PGIMRAD1G,PGIM India Fixed Duration Fund - Series AR - DPG,MF,20-MAR-2018,1000,1,INF663L01ZY0,1000
PGIMRADPD,PGIM India Fixed Duration Fund - Series AR - RPSDPO,MF,20-MAR-2018,1000,1,INF663L01A44,1000
PGIMRAGPG,PGIM India Fixed Duration Fund - Series AR - RPG,MF,20-MAR-2018,1000,1,INF663L01A36,1000
PGIMRAQDD,PGIM India Fixed Duration Fund - Series AR - RPQDPO,MF,20-MAR-2018,1000,1,INF663L01A77,1000
RDAFDVHDR,Reliance Mutual Fund - Reliance Dual Advantage FTF V- Plan H - DPDPO,MF,14-JUN-2017,10,1,INF204KB1OZ3,10
RDAFDVHGR,Reliance Mutual Fund - Reliance Dual Advantage FTF V- Plan H - DPGO,MF,14-JUN-2017,10,1,INF204KB1OY6,10
RDAFTFIVCD,Reliance Mutual Fund - Reliance DA-FTF IV-P-C-D,MF,11-OCT-2013,10,1,INF204KA1735,10
RDAFTFIVCG,Reliance Mutual Fund - Reliance DA-FTF IV-P-C-G,MF,11-OCT-2013,10,1,INF204KA1727,10
